Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
0.02868399,-0.02221527,0.09916359,0.09210455,0.02297995,0.08542058,0.00769949
0.06738043,-0.03502287,0.2228445,0.18367667,0.03794017,0.10853725,-0.02948829
0.18933707,0.00471504,0.40427542,0.29775327,0.0586413,0.14599042,-0.02552528
0.32997447,0.04792317,0.55916274,0.38078955,0.04803402,0.18206888,-0.0585863
0.44329473,0.074068,0.6934671,0.442526,-0.00461497,0.1867148,-0.0437209
0.5679514,0.12634897,0.85764325,0.53244174,0.01448952,0.20508634,-0.02164283
0.62576824,0.15103468,0.9835427,0.6182821,0.05813736,0.22016905,-0.0761522
0.7180636,0.190522,1.1168326,0.6938413,0.09139344,0.26119682,-0.02960099
0.88182807,0.25471893,1.2899046,0.7621708,0.10802597,0.27983737,0.00598519
0.90714335,0.24766769,1.3537514,0.7977561,0.10513783,0.19419742,-0.04534391
0.9013679,0.22972009,1.4131488,0.87143016,0.13768566,0.16083087,-0.08259346
0.9212269,0.20070098,1.4851544,0.9098674,0.14292856,0.14358096,-0.1260882
0.94331634,0.18781929,1.5463287,0.9463655,0.13622415,0.13221323,-0.15880454
1.0119976,0.22211802,1.6440375,1.0241696,0.14846829,0.19151437,-0.16495958
1.0963522,0.26480892,1.7572209,1.1057222,0.15574327,0.22775218,-0.14885084
1.2523279,0.3584203,1.8575578,1.2003006,0.18071298,0.28522852,-0.06267011
1.429028,0.47999927,1.9558424,1.265478,0.2156721,0.3414139,0.0209034
1.5181,0.4973541,2.101318,1.2433784,0.23152335,0.33984715,0.03991441
1.4180063,0.3331943,1.99689,1.0984894,0.2129599,0.31146806,0.00774067
1.3171138,0.3028192,1.873185,1.0541754,0.22064777,0.2599449,-0.05228225
1.3294468,0.3900329,1.9028294,1.1593949,0.2536473,0.2828541,-0.03977814
1.3299836,0.40705803,1.9670293,1.2597126,0.27341712,0.31785795,-0.01836868
1.329804,0.40384144,2.0240004,1.3071975,0.2792645,0.32365468,-0.05103127
1.4543633,0.50105935,2.1325321,1.3876176,0.302331,0.35830036,-0.07156634
1.6613312,0.64240766,2.2736316,1.4684248,0.31550494,0.38507026,-0.01336402
1.7924464,0.7169115,2.3661675,1.5005997,0.32399678,0.3653913,0.0341509
1.9986212,0.8555918,2.4984348,1.581111,0.36107168,0.41165802,0.06468368
2.0741253,0.913221,2.5744307,1.634445,0.3634555,0.4214581,0.07213015
2.0270333,0.8828521,2.5925264,1.6477042,0.37091535,0.38345173,0.06609463
